,age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
5514,-0.4087560612609273,2,0.08005084658375408,1.133702193534905,4,10,1,4,0,-0.14571521360410045,-0.2179980768942208,0.779460235411192,39,>50K
19777,-0.18885730491063837,4,-0.9816528555271387,0.35704925354602446,2,4,0,4,1,-0.14571521360410045,4.457167838687532,0.779460235411192,39,>50K
10781,1.4237335749914803,6,0.12619700298211517,-1.9729095664206173,5,3,1,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
32240,-1.2883510866620829,4,-0.09093510730333637,0.35704925354602446,2,5,0,4,1,-0.14571521360410045,-0.2179980768942208,0.4550719735633537,39,<=50K
9876,-0.8485535739615051,4,0.8563344895050308,-0.03127721644841584,0,8,1,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
5455,0.397539378690132,4,-0.1356463235006776,1.133702193534905,2,3,0,4,1,-0.14571521360410045,-0.2179980768942208,-2.3022282521432715,39,<=50K
8615,-0.4087560612609273,4,-1.166513065662501,-1.5845830964261771,4,7,1,4,0,-0.14571521360410045,-0.2179980768942208,0.37397490810139417,39,<=50K
29805,1.7169319167918655,6,-1.086004367761571,1.133702193534905,2,4,0,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
15081,-1.3616506721121793,4,1.7519272332462053,-0.4196036864428561,4,10,2,4,0,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
17203,-0.4087560612609273,4,-1.5764213144770203,-0.4196036864428561,0,8,4,4,0,-0.14571521360410045,-0.2179980768942208,-0.8424810738279994,39,<=50K
9747,-1.068452330311794,4,0.04603991294501142,1.133702193534905,4,12,3,4,0,-0.14571521360410045,-0.2179980768942208,-2.058937055757393,39,<=50K
12114,-0.18885730491063837,4,0.549257286486777,1.9103551335237856,2,10,0,4,1,0.5704018033676679,-0.2179980768942208,1.5904308900307877,0,>50K
327,0.3242397932400357,4,-0.019302132235204997,-0.03127721644841584,2,10,5,4,0,-0.14571521360410045,4.457167838687532,0.779460235411192,39,>50K
231,0.17764062233984312,4,-0.564009233708446,-0.4196036864428561,0,12,4,2,0,-0.14571521360410045,-0.2179980768942208,-0.19370455013232282,39,<=50K
13770,0.10434103688974683,4,0.7757592711974312,0.7453757235404648,0,4,1,4,0,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
5860,-0.8485535739615051,4,-0.8400119038966667,-0.4196036864428561,2,6,0,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,26,<=50K
3272,-0.6286548176112162,4,-0.6327153108831063,-1.5845830964261771,4,3,1,4,1,-0.14571521360410045,-0.2179980768942208,0.779460235411192,39,<=50K
27240,-0.04225813401044578,4,-0.6065347794009225,1.133702193534905,5,4,1,4,1,3.70289512789655,-0.2179980768942208,0.37397490810139417,39,>50K
24431,-0.9951527448616977,4,0.06663273026693245,-0.4196036864428561,4,6,1,4,1,-0.14571521360410045,-0.2179980768942208,1.9959162173405856,39,<=50K
7743,-1.3616506721121793,4,-1.423842507406986,-0.4196036864428561,4,8,1,4,1,-0.14571521360410045,-0.2179980768942208,-2.62661651399111,39,<=50K
6951,-0.9218531594116014,4,-0.5271474254981406,0.35704925354602446,4,12,3,4,0,-0.14571521360410045,-0.2179980768942208,-0.43699574651820156,39,<=50K
21032,-0.9951527448616977,4,-0.6835083928331146,1.133702193534905,4,10,1,4,0,-0.14571521360410045,4.429914619253828,-0.03151041920840369,39,<=50K
14778,-0.11555771946054208,4,-0.013134740245391087,-0.4196036864428561,4,7,1,2,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
11423,-0.18885730491063837,4,-0.5188323746644162,-0.4196036864428561,4,12,3,4,1,-0.14571521360410045,-0.2179980768942208,0.37397490810139417,0,<=50K
26009,-1.4349502575622755,4,0.128857819248907,-1.1962566264317367,4,12,3,4,1,-0.14571521360410045,-0.2179980768942208,-0.8424810738279994,39,<=50K
16066,-0.4820556467110236,4,-0.5543447689108485,1.133702193534905,2,7,0,4,1,-0.14571521360410045,-0.2179980768942208,0.779460235411192,39,<=50K
30825,-1.2883510866620829,4,0.4001375405635722,0.35704925354602446,4,3,3,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
10276,1.2038348186411914,4,0.1216356036676149,1.133702193534905,2,8,2,1,1,-0.14571521360410045,-0.2179980768942208,-0.43699574651820156,30,<=50K
75,-0.8485535739615051,4,0.2296077266079318,-0.4196036864428561,4,8,3,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,26,<=50K
4,-0.7752539885114088,4,1.4126066388235776,1.133702193534905,2,10,5,2,0,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,5,<=50K
14242,-0.335456475810831,4,-0.8367333981393696,-0.4196036864428561,5,14,1,1,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
20097,0.031041451439650522,4,-0.9535242264210537,0.35704925354602446,0,8,1,0,0,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,4,<=50K
1108,0.17764062233984312,4,-0.6799067879577071,1.133702193534905,2,3,0,4,1,0.28342945686005505,-0.2179980768942208,-0.03151041920840369,39,>50K
